"fecha_de_autorizaci_n","tipo_de_solicitud","solicitante_importador","ium","principio_activo1","concentraci_n_delmedicamento1","unidad_medida1","principio_activo2","concentraci_n_del_medicamento2","unidad_medida2","forma_farmac_utica","nombre_comercial_","cantidad_solicitada","presentaci_n_comercial","diagnostico_cie_1no_reporta","c_digo_diagnostico_cie_10"
"2025-10-20T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL THERAPEUTICS S.A.S","1S1040361000101","SELUMETINIB","10","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULAS DE LIBERACIÓN NO MODIFICADA","KOSELUGO","6","FRASCOS X 60 CÁPSULAS","NEUROFIBROMATOSIS (NO MALIGNA)","Q850"
"2025-10-20T05:00:00.000","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","12","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION","E849"
"2025-10-20T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL THERAPEUTICS S.A.S","1S1040361000101","SELUMETINIB","10","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULAS DE LIBERACIÓN NO MODIFICADA","KOSELUGO","5","FRASCOS X 60 CÁPSULAS","NEUROFIBROMATOSIS (NO MALIGNA)","Q850"
"2025-10-17T05:00:00.000","URGENCIA CLÍNICA","MEGALABS COLOMBIA S.A.S","1A1060921000100","ACIDO 5-AMINOLEVULÍNICO HCl","3000/100","mg/mL","NO APLICA","NO APLICA","NO APLICA","POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL","GLIOLAN","1","CAJA X UN FRASCO DE 50 mL","TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL ENCEFALO, SUPRATENTORIAL","D430"
"2025-10-17T05:00:00.000","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA DE LIBERACION NO MODIFICADA","TRIKAFTA","6","CAJA X 28 DOSIS (KIT POR 84 TABLETAS DE ELEXACAFTOR 100 MG/ TEZACAFTOR 50 MG / IVACAFTOR 75 MG (56 TABLETAS) & IVACAFTOR 150 MG (28 TABLETAS) )","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-10-17T05:00:00.000","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA DE LIBERACION NO MODIFICADA","TRIKAFTA","6","CAJA X 28 DOSIS (KIT POR 84 TABLETAS DE ELEXACAFTOR 100 MG/ TEZACAFTOR 50 MG / IVACAFTOR 75 MG (56 TABLETAS) & IVACAFTOR 150 MG (28 TABLETAS) )","FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION","E849"
"2025-10-17T05:00:00.000","PACIENTE ESPECIFICO","LABORATORIOS BIOPAS S.A.","1M1041941000100","MARALIXIBAT","950/100","mg/mL","NO APLICA","NO APLICA","NO APLICA","JARABE","LIVMARLI","12","CAJAS X UN FRASCO DE 30 mL + UNA JERINGA DOSIFICADORA DE 0.5 ML O DOSIFICADORA DE 1 mL O UNA JERINGA DOSIFICADORA DE 3 mL","COLESTASIS INTRAHEPATICA FAMILIAR PROGRESIVA TIPO 2","K768"
"2025-10-17T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S.","1P1012181004100","CLORURO DE POTASIO","1500","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","NO REPORTADO","11","FRASCOS X 100 TABLETAS","OTRAS ENFERMEDADES RENALES TUBULOINTERSTICIALES ESPECIFICADAS","N158"
"2025-10-17T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S.","1A1001611000100","AMILORIDE","5","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","MODAMIDE","12","CAJAS X 30 TABLETAS","OTRAS ENFERMEDADES RENALES TUBULOINTERSTICIALES ESPECIFICADAS","N158"
"2025-10-17T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL THERAPEUTICS S.A.S","1A1014981000100","AZTREONAM LISINA","75","mg","NO APLICA","NO APLICA","NO APLICA","POLVO PARA NEBULIZAR","CAYSTON","3","CAJAS X 84 VIALES","FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION","E849"
"2025-10-17T05:00:00.000","PACIENTE ESPECIFICO","INTERNATIONAL PHARMACEUTICAL PRODUCTS SAS (INPHAPRO SAS)","1U1003271000100","UBIDECARENONA (UBIQUINOL LIPOSOMAL)","800/100","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN ORAL","CYTO-Q","18","CAJAS X 30 SOBRES DE 10 mL","MIOPATIA MITOCONDRICA, NO CLASIFICADA EN OTRA PARTE","G713"
"2025-10-16T05:00:00.000","URGENCIA CLÍNICA","MEGALABS COLOMBIA S.A.S","1A1060921000100","ACIDO 5-AMINOLEVULÍNICO HCl","3000/100","mg/mL","NO APLICA","NO APLICA","NO APLICA","POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL","GLIOLAN","1","CAJA X UN FRASCO DE 50 mL","TUMOR MALIGNO DEL CEREBRO, EXCEPTO LOBULOS Y VENTRICULOS","C710"
"2025-10-15T05:00:00.000","MÁS DE UN PACIENTE","PISA FARMACÉUTICA DE COLOMBIA S.A.","1A1014821001100","AMIODARONA CLORHIDRATO","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","CIRTRENT","8000","CAJAS X 6 AMPOLLAS DE 3 ML","ARRITMIAS GRAVES","NO REPORTADO"
"2025-10-15T05:00:00.000","MÁS DE UN PACIENTE","AL PHARMA S.A.S","1M1023741004100","MERCAPTOPURINA","50","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","KAPTO","800","CAJA X 100 TABLETAS","NO REPORTADO","NO REPORTADO"
"2025-10-15T05:00:00.000","MÁS DE UN PACIENTE","MEGALABS COLOMBIA S.A.S","1A1060921000100","ACIDO 5-AMINOLEVULÍNICO HCl","30","mg/mL","NO APLICA","NO APLICA","NO APLICA","POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL","GLIOLAN",,"FRASCO CON 50ml (1500mg)","TUMOR MALIGNO DEL CEREBRO, EXCEPTO LOBULOS Y VENTRICULOS","C710"
"2025-10-15T05:00:00.000","PACIENTE ESPECIFICO","SALUTIS SAS - AUDIFARMA SA","1V1030561000100","VOLANESORSEN","190","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","WAYLIVRA","6","CAJAS X 1 JERINGA X 1,5 mL","HIPERQUILOMICRONEMIA","E783"
"2025-10-15T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S. - VALENTECH","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA DE LIBERACION NO MODIFICADA","TRIKAFTA","4","CAJA X 28 DOSIS (KIT POR 84 TABLETAS DE ELEXACAFTOR 100 MG/ TEZACAFTOR 50 MG / IVACAFTOR 75 MG (56 TABLETAS) & IVACAFTOR 150 MG (28 TABLETAS) )","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-10-15T05:00:00.000","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063651000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","100/50/150","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 50mg/ TEZACAFTOR 25mg / IVACAFTOR 37,5mg (56 TABLETAS) & DE IVACAFTOR 75mg (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES INTESTINALES","E841"
"2025-10-15T05:00:00.000","MÁS DE UN PACIENTE","HEALTH NET SAS","1C1004121005101","CITARABINA","100","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","2000","CAJAS X UN (1) VIAL DE 5mL","LEUCEMIA LINFOBLASTICA AGUDA","C910"
"2025-10-15T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S. - VALENTECH","2E1063651000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","100/50/150","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA DE LIBERACION NO MODIFICADA","TRIKAFTA","6","CAJA X 28 DOSIS
CADA CAJA CON KIT POR 84 TABLETAS, DE ELEXACAFTOR 50 MG/ TEZACAFTOR 25 MG /IVACAFTOR 37,5 MG (56 TABLETAS) & IVACAFTOR 75MG (28TABLETAS)","FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION","E849"
"2025-10-15T05:00:00.000","MÁS DE UN PACIENTE","HOLLAND GROUP SAS","1A1000281002100","AZUL DE METILENO","10","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","BLUE BEAM","800","CAJAS X 5 AMPOLLAS DE 10ml","METAHEMOGLOBINEMIA CONGENITA","D740"
"2025-10-15T05:00:00.000","PACIENTE ESPECIFICO","SOLUCOL GROUP S.A.S","1T1007651003100","TOLVAPTAN","30","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TOLVAHEAL","72","CAJAS X 10 TABLETAS","RIÑON POLIQUISTICO, TIPO ADULTO","Q612"
"2025-10-15T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S. - VALENTECH","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-10-15T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL THERAPEUTICS S.A.S","1E1061661000100","ESPARSENTAN","200","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","FILSPARI","6","FRASCO X 30 TABLETAS","ENFERMEDAD RENAL CRÓNICA, ETAPA 1","NO REPORTADO"
"2025-10-10T05:00:00.000","URGENCIA CLÍNICA","MEGALABS COLOMBIA S.A.S","1A1060921000100","ACIDO 5-AMINOLEVULÍNICO HCl","30","mg/mL","NO APLICA","NO APLICA","NO APLICA","POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL","GLIOLAN","1","FRASCO CON 50ml (1500mg)","TUMOR MALIGNO DEL CEREBRO, EXCEPTO LOBULOS Y VENTRICULOS","C710"
"2025-10-10T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1T1024151003102","NITROGLICERINA (TRINITRATO DE GLICEROL)","5","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","13200","CAJAS X UN (1) VIAL","EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS: NITROGLICERINA Y OTROS ACIDOS Y ESTERES NITRICOS","T655"
"2025-10-10T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1T1024151003102","NITROGLICERINA (TRINITRATO DE GLICEROL)","5","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NO REPORTADO","16800","CAJAS X UN (1) VIAL","EFECTO TOXICO DE OTRAS SUSTANCIAS Y LAS NO ESPECIFICADAS: NITROGLICERINA Y OTROS ACIDOS Y ESTERES NITRICOS","T655"
"2025-10-10T05:00:00.000","URGENCIA CLÍNICA","VALENTECH PHARMA COLOMBIA SAS","2E1063651000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","100/50/150","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","3","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 50mg/ TEZACAFTOR 25mg / IVACAFTOR 37,5mg (56 TABLETAS) & DE IVACAFTOR 75mg (28 TABLETAS)","FIBROSIS QUISTICA CON OTRAS MANIFESTACIONES","E848"
